dataset,method,seed,task,elapsed_sec,metric_accuracy,metric_f1,metric_precision,metric_recall,metric_roc_auc,metric_mae,metric_rmse,metric_r2
hERG_Karim,GCN,42,classification,60.95,0.6550185873605948,0.5743119266055046,0.608357628765792,0.5438748913987836,0.6952792413185359,,,
hERG_Karim,GCN,123,classification,43.19,0.6553903345724907,0.5932426502852128,0.6014234875444839,0.5852813852813853,0.6913890886529324,,,
hERG_Karim,GCN,7,classification,105.65,0.6460966542750929,0.5824561403508772,0.578397212543554,0.5865724381625441,0.6900948937888114,,,
hERG_Karim,GIN,42,classification,84.93,0.7197026022304833,0.6585144927536232,0.6877956480605487,0.631624674196351,0.7853181881562998,,,
hERG_Karim,GIN,123,classification,54.13,0.7159851301115242,0.6669572798605057,0.6716417910447762,0.6623376623376623,0.7783391852447228,,,
hERG_Karim,GIN,7,classification,60.45,0.7070631970260223,0.6215177713736791,0.6810526315789474,0.5715547703180212,0.7695434937425438,,,
hERG_Karim,GAT,42,classification,187.03,0.6680297397769517,0.6057395143487859,0.6157989228007181,0.5960034752389227,0.7133983557535922,,,
hERG_Karim,GAT,123,classification,129.15,0.6669144981412639,0.5658914728682171,0.6424642464246425,0.5056277056277056,0.6981225940183595,,,
hERG_Karim,GAT,7,classification,125.44,0.6591078066914499,0.5724941724941724,0.6061204343534057,0.5424028268551236,0.6973706890686165,,,
hERG_Karim,SAGE,42,classification,53.43,0.6646840148698885,0.5521350546176763,0.6442641946697567,0.48305821025195483,0.7052905939914949,,,
hERG_Karim,SAGE,123,classification,69.65,0.6743494423791822,0.6021798365122616,0.6332378223495702,0.574025974025974,0.7221337620034689,,,
hERG_Karim,SAGE,7,classification,74.03,0.6806691449814126,0.5803615046409379,0.6491803278688525,0.5247349823321554,0.7217620669790481,,,
hERG_Karim,GINE,42,classification,98.58,0.7115241635687732,0.6747694886839899,0.6518218623481782,0.6993918331885317,0.7886353590318106,,,
hERG_Karim,GINE,123,classification,61.08,0.7003717472118959,0.5949748743718593,0.7089820359281437,0.5125541125541125,0.757289225432548,,,
hERG_Karim,GINE,7,classification,93.79,0.7260223048327138,0.6725899600177698,0.676496872207328,0.6687279151943463,0.7948800673147145,,,
hERG_Karim,ChemBERTa,42,classification,1205.7,0.6245353159851301,0.6159695817490495,0.5476673427991886,0.7037358818418766,0.6863399287226012,,,
hERG_Karim,ChemBERTa,123,classification,1197.91,0.6271375464684015,0.6077434493547126,0.5542082738944365,0.6727272727272727,0.684520213771028,,,
hERG_Karim,ChemBERTa,7,classification,1200.76,0.6118959107806692,0.5940902021772939,0.5305555555555556,0.6749116607773852,0.692488217656958,,,
DILI,RF,42,classification,1.01,0.6875,0.7222222222222222,0.75,0.6964285714285714,0.8075892857142857,,,
DILI,RF,123,classification,1.0,0.7083333333333334,0.78125,0.746268656716418,0.819672131147541,0.7822014051522248,,,
DILI,RF,7,classification,1.01,0.78125,0.8292682926829268,0.8793103448275862,0.7846153846153846,0.8903225806451613,,,
DILI,XGB,42,classification,0.6,0.6666666666666666,0.7037037037037037,0.7307692307692307,0.6785714285714286,0.7647321428571429,,,
DILI,XGB,123,classification,0.58,0.7708333333333334,0.8225806451612904,0.8095238095238095,0.8360655737704918,0.8224824355971897,,,
DILI,XGB,7,classification,0.59,0.8333333333333334,0.875,0.8888888888888888,0.8615384615384616,0.856575682382134,,,
DILI,GCN,42,classification,5.54,0.7916666666666666,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8366071428571429,,,
DILI,GCN,123,classification,2.28,0.7291666666666666,0.8115942028985508,0.7272727272727273,0.9180327868852459,0.8163934426229509,,,
DILI,GCN,7,classification,6.9,0.8125,0.8676470588235294,0.8309859154929577,0.9076923076923077,0.8828784119106701,,,
DILI,GIN,42,classification,1.67,0.7708333333333334,0.8070175438596491,0.7931034482758621,0.8214285714285714,0.8504464285714286,,,
DILI,GIN,123,classification,1.34,0.8020833333333334,0.8613138686131386,0.7763157894736842,0.9672131147540983,0.8515222482435597,,,
DILI,GIN,7,classification,1.75,0.8958333333333334,0.9253731343283582,0.8985507246376812,0.9538461538461539,0.9086848635235734,,,
DILI,GAT,42,classification,11.36,0.8020833333333334,0.8288288288288288,0.8363636363636363,0.8214285714285714,0.8383928571428572,,,
DILI,GAT,123,classification,3.26,0.7083333333333334,0.8028169014084507,0.7037037037037037,0.9344262295081968,0.8023419203747073,,,
