dataset,method,mean,std,count
Tox21_SR-p53,GAT,0.6526525914269667,,1
Tox21_SR-p53,GCN,0.7134333835623294,,1
Tox21_SR-p53,GIN,0.708606951618912,,1
Tox21_SR-p53,GINE,0.7243762615169899,,1
Tox21_SR-p53,RF,0.7164026400805147,,1
Tox21_SR-p53,SAGE,0.6827288245858889,,1
Tox21_SR-p53,XGB,0.701678686409813,,1
hERG_Karim,ChemBERTa,0.6877827867168623,0.004175362364544129,3
hERG_Karim,GAT,0.7029638796135228,0.009044338533116758,3
hERG_Karim,GCN,0.6922544079200933,0.0026983231650100424,3
hERG_Karim,GIN,0.7777336223811888,0.007904762852111051,3
hERG_Karim,GINE,0.780268217259691,0.020143848798791452,3
hERG_Karim,RF,0.7983205074730669,0.006456729244297899,3
hERG_Karim,SAGE,0.7163954743246705,0.00961890402844368,3
hERG_Karim,XGB,0.7941667314887342,0.010324407891792411,3
